96	توشية الميزان
الصنعة 1  . استهلال . قصيدة. كامل
6	جَاءَ البَشِيرُ مُبَشِّرًا بِقُدُومِهِ	فَمُلِئْتُ مِنْ قَوْلِ البَشِيرِ سُرُورَا
6	وَاللَّهِ لَوْ قَنَعَ البَشِيرُ بِمُهْجَتِي	لَوَهَبْتُهَا وَرَأَيْتُ ذَاكَ يَسِيرَا
6	وَكَأَنَّنِي يَعْقُوبُ مِنْ فَرَحٍ بِهِ	إِذْ عَادَ مِنْ شَمِّ القَمِيصِ بَصِيرَا

6	قَدْ بَشَّرَتْ  بِقُدُومِكُمْ  رِيحُ  الصَّبَا	أَهْلًا بِكُمْ يَا زَائِرِينَ وَمَرْحَبَا
6	وَاسْتَنْشَقَتْ أَرْوَاحُنَا أَرْجَ اللِّقَا	يَا حَبَّذَا قُرْبُ الزِّيَارَةِ   أَطْرَبَا

الصنعة 4 . استهلال . قصيدة. بسيط
8	أَبْشِرْ لَقَدْ نِلْتَ مَا تَرْجُو وَتَنْتَظِرُ	وَقَدْ جَرَى بِالَّذِي تَخْتَارُهُ القَدَرُ
8	وَسَاعَدَتْكَ مِنَ الأَيَّامِ أَرْبَعَةٌ	العِزُّ وَالنَّصْرُ وَالتَّمْكِينُ   وَالظَّفَرُ

الصنعة 3  . استهلال . توشيح
6	خَضَعَتِ الأُسْدُ	لِهِلالِ الدَّيْجُورْ
4	حَازَ البَهَا وَحْدُه	المَلِكُ المَنْصُورْ

4	سُبْحَانَ مَنْ أَنْشَاهْ	فِتْنَةً لِلْعُشَّاقْ
4	وَبِالْبَهَا أَوْلاهْ	وَالسِّرِّ وَالأَخْلاقْ
4	يَغَارُ مِنْ سَنَاهْ	البَدْرُ فِي الإِشْرَاقْ

6	تَجَلَّى مِنْ وُدُّه	بِحُسْنِ زَيْن الحُورْ
4	حَازَ البَهَا وَحْدُه	المَلِكُ المَنْصُورْ

موال
	آمولاي إن البعد عنك أضرّ بي	ومن ذا الذي عن حسن ذاتك يصبر

	أبت مقلتي إلا جمالك تنظر	متى يا بديع الحسن وجهك أبصر

الصنعة 17 . بروالة ـ استهلال . ملحون
7	آ كَاملْ البْهَا مَا شَفّْكْ تَعْبِي	نَوْمِي منْ اجْفَاكْ اجْفَانِي	كَسِينْة اجْفَانِي
7	وُابْقِيتْ بالاحْسَانْ انْتبَّعْ  طَلْبِي	لَوْ صِبْت نَنْظُر بْاعْيَانِي	سِيدِي مَا عْيَانِي
7	نَظْرَا فِْي اجمَالَكْ تَحيِي قَلْبِي	وَارْحَمْ يَا حْيَاة الفَانِي	رَانِي فِيكْ فَانِي

4	حُسْنَكْ يَا حَسَنْ	لِلْجَمَالْ اجْمِيلْ
4	جَمِيلٌ فَتَّانْ	فِتْنَة لِلْقَتِيلْ
4	وَصَارْ بِالوَسَنْ	مَا صَارْ بِالدَّلِيلْ

7	اغْلَبْنِي الهْوَى وْارْضِيتْ  بْغُلْبِي	مْن قَبْل مَا ابْدِيتُو ابْدَانِي	وْاسْرَى فِْي ابْدَانِي
7	ارْغَبْتْ فِْي الفْدَا مَا سَاعَف رَغْبِي	لَوْ كَانْ لِي امْسَاعَفْ دَانِي	مِنْ يُسْرُه افْدَانِي
7	نَظْرَا فِْي اجمَالَكْ تَحيِي قَلْبِي	وَارْحَمْ يَا حْيَاة الفَانِي	رَانِي فِيكْ فَانِي

الصنعة 19 . شغل ـ استهلال . زجل
7	القَدّْ الَّذِي سَبَانِي	سَهَانِي	مِنْهُ مَا قَطَعْت إِيَّاسْ
7	يَا رُوحِي وَيَا رَيْحَانِي	بِا جْفَانِي	نَشْرَبْ مَا رَوَانِي  الكَاسْ
7	قُلْ لِي وَكِيفْ نَمْسَكْ عِنَانِي	حِينْ جَانِي	كُتْبَكْ يَا أَعَزَّ النَّاسْ

5	مَا طِعْتُ إِلا لِلسُّلْطَانْ	لَمَّا انْفَشَى الكِتْمَانْ

7	إِنْ كَانْ هَذَا الخَطَا مِنِّي	قَلْ لِي كِيفْ	نَفُوزْ بِمَا يُرْضِي الجِنَانْ

الصنعة 20 . استهلال . زجل
12	غَيْبَتُكْ زَادَتْنِي أَشْوَاقْ	والمَنَامْ رِيتُه جَفَانِي
12	لَمْ يَزَلْ طَبْعِي رُقَيَّقْ	حَتَّى صَارْ بِالحُبِّ فَانِي
8	لَمْ نَزَلْ طُولْ عُمْرِي نَعْشَقْ	وَالمَلِيحْ رِيتُه وَرَانِي

8	وَالمَحَبَّة بِالمَعَانِي	وَالمِلاحْ مَا هُمْ سَوِيَّا
12	عَيْنِي وَقَلْبِي نَشَوْنِي	هُمْ باثْنَيْن اتَّفْقُوا عَلَيَّا

الصنعة 22 . استهلال . زجل
4	أَنْتَ تَزِيدْ مَعْنَى	وَانَا نَزِيدْ عِشْقَا
4	نَعْشَقْ وَنَتْمَنَّى	عَلَى تِلْكَ الرِّقَا
4	فِي امْحَبَّتَكْ نَفْنَى	وَمَنْ  يَلُمْ يَشْقَى

4	يَشْقَى وَيَتْعَذَّبْ	دَائِمْ نَحِيلْ أَصْفَرْ
4	قُلْ لِي آشْ يَكُونْ عَمْلِي	يَا نَجْمَةَ الغَرَارْ

